Timestamp;Container_ID;Container_Name;CPU_Percent;Mem_Usage_MiB;Mem_Limit_MiB;Mem_Percent;Net_Rx_MiB;Net_Tx_MiB;Block_Read_MiB;Block_Write_MiB;PIDS
2025-09-22 11:49:25;f08e12c0ab44;postgres;0.01;56.2;256.0;21.95;0.90625;1.58;0.0;0.0;16
2025-09-22 11:49:34;f08e12c0ab44;postgres;3.5;56.16;256.0;21.94;1.04;1.77;0.0;0.0;16
2025-09-22 11:49:42;f08e12c0ab44;postgres;10.09;56.38;256.0;22.02;2.12;3.99;0.0;0.0;16
2025-09-22 11:49:49;f08e12c0ab44;postgres;12.16;57.21;256.0;22.35;3.83;7.4;0.0;0.0;16
2025-09-22 11:49:57;f08e12c0ab44;postgres;14.75;57.7;256.0;22.54;5.71;11.7;0.0;0.0;16
2025-09-22 11:50:07;f08e12c0ab44;postgres;15.31;57.67;256.0;22.53;8.23;18.0;0.0;0.0;16
2025-09-22 11:50:14;f08e12c0ab44;postgres;14.81;57.58;256.0;22.49;10.6;24.5;0.0;0.0;16
2025-09-22 11:50:21;f08e12c0ab44;postgres;14.0;57.68;256.0;22.53;12.8;31.1;0.0;0.0;16
2025-09-22 11:50:29;f08e12c0ab44;postgres;13.15;57.82;256.0;22.59;15.4;39.2;0.0;0.0;16
2025-09-22 11:50:39;f08e12c0ab44;postgres;14.3;58.19;256.0;22.73;18.0;48.2;0.0;0.0;16
2025-09-22 11:50:47;f08e12c0ab44;postgres;17.46;58.34;256.0;22.79;19.9;55.6;0.0;0.0;16
2025-09-22 11:50:53;f08e12c0ab44;postgres;17.25;58.46;256.0;22.84;22.7;66.5;0.0;0.0;16
2025-09-22 11:51:01;f08e12c0ab44;postgres;16.01;59.68;256.0;23.31;25.6;78.5;0.0;0.0;16
2025-09-22 11:51:11;f08e12c0ab44;postgres;15.83;59.68;256.0;23.31;28.0;89.5;0.0;0.0;16
2025-09-22 11:51:18;f08e12c0ab44;postgres;14.95;59.73;256.0;23.33;31.2;104.0;0.0;0.0;16
2025-09-22 11:51:26;f08e12c0ab44;postgres;15.82;60.25;256.0;23.54;33.6;116.0;0.0;0.0;16
2025-09-22 11:51:33;f08e12c0ab44;postgres;14.91;60.3;256.0;23.55;36.0;128.0;0.0;0.0;16
2025-09-22 11:51:43;f08e12c0ab44;postgres;17.94;60.47;256.0;23.62;38.4;141.0;0.0;0.0;16
2025-09-22 11:51:50;f08e12c0ab44;postgres;18.01;60.55;256.0;23.65;41.0;156.0;0.0;0.0;16
2025-09-22 11:51:58;f08e12c0ab44;postgres;15.54;61.35;256.0;23.97;43.8;173.0;0.0;0.0;16
2025-09-22 11:52:05;f08e12c0ab44;postgres;15.67;61.35;256.0;23.96;46.7;190.0;0.0;0.0;16
2025-09-22 11:52:15;f08e12c0ab44;postgres;16.93;61.35;256.0;23.96;49.2;206.0;0.0;0.0;16
2025-09-22 11:52:22;f08e12c0ab44;postgres;16.42;61.26;256.0;23.93;51.5;222.0;0.0;0.0;16
2025-09-22 11:52:29;f08e12c0ab44;postgres;15.08;61.27;256.0;23.93;54.1;239.0;0.0;0.0;16
2025-09-22 11:52:36;f08e12c0ab44;postgres;17.68;61.27;256.0;23.93;56.1;253.0;0.0;0.0;16
2025-09-22 11:52:47;f08e12c0ab44;postgres;17.28;61.86;256.0;24.17;59.1;274.0;0.0;0.0;16
2025-09-22 11:52:53;f08e12c0ab44;postgres;17.2;61.89;256.0;24.18;62.0;296.0;0.0;0.0;16
