Timestamp;Container_ID;Container_Name;CPU_Percent;Mem_Usage_MiB;Mem_Limit_MiB;Mem_Percent;Net_Rx_MiB;Net_Tx_MiB;Block_Read_MiB;Block_Write_MiB;PIDS
2025-09-22 21:20:35;eee16608eae8;postgres_db;0.01;64.24;512.0;12.55;0.02626953125;0.021484375;0.0;0.0;11
2025-09-22 21:20:43;eee16608eae8;postgres_db;7.04;74.54;512.0;14.56;0.2880859375;0.3369140625;0.0;0.0;16
2025-09-22 21:20:50;eee16608eae8;postgres_db;13.88;105.0;512.0;20.5;2.56;3.27;0.0;0.0;33
2025-09-22 21:20:58;eee16608eae8;postgres_db;15.11;107.0;512.0;20.91;5.52;7.52;0.0;0.0;34
2025-09-22 21:21:08;eee16608eae8;postgres_db;16.0;97.46;512.0;19.03;8.04;11.4;0.0;0.0;29
2025-09-22 21:21:16;eee16608eae8;postgres_db;17.37;121.2;512.0;23.67;11.5;17.4;0.0;0.0;42
2025-09-22 21:21:23;eee16608eae8;postgres_db;17.27;136.2;512.0;26.6;14.0;22.0;0.0;0.0;50
2025-09-22 21:21:31;eee16608eae8;postgres_db;21.79;131.2;512.0;25.63;17.1;27.6;0.0;0.0;49
2025-09-22 21:21:41;eee16608eae8;postgres_db;17.66;146.9;512.0;28.69;20.4;34.0;0.0;0.0;56
2025-09-22 21:21:49;eee16608eae8;postgres_db;17.6;184.0;512.0;35.93;24.0;41.3;0.0;0.0;77
2025-09-22 21:21:56;eee16608eae8;postgres_db;20.15;189.1;512.0;36.94;27.2;47.9;0.0;0.0;82
2025-09-22 21:22:04;eee16608eae8;postgres_db;20.0;162.2;512.0;31.68;30.0;54.4;0.0;0.0;68
2025-09-22 21:22:14;eee16608eae8;postgres_db;19.62;180.9;512.0;35.33;33.7;63.2;0.0;0.0;75
2025-09-22 21:22:22;eee16608eae8;postgres_db;19.23;176.3;512.0;34.43;36.8;71.0;0.0;0.0;76
2025-09-22 21:22:29;eee16608eae8;postgres_db;18.46;187.8;512.0;36.68;39.6;78.8;0.0;0.0;82
2025-09-22 21:22:37;eee16608eae8;postgres_db;9.12;228.9;512.0;44.71;42.4;86.0;0.0;0.0;103
2025-09-22 21:22:47;eee16608eae8;postgres_db;20.68;225.2;512.0;43.99;45.5;94.2;0.0;0.0;105
2025-09-22 21:22:55;eee16608eae8;postgres_db;19.61;166.2;512.0;32.47;49.5;106.0;0.0;0.0;67
2025-09-22 21:23:03;eee16608eae8;postgres_db;17.92;249.3;512.0;48.69;52.8;115.0;0.0;0.0;114
2025-09-22 21:23:10;eee16608eae8;postgres_db;22.85;191.6;512.0;37.42;55.5;124.0;0.0;0.0;91
2025-09-22 21:23:20;eee16608eae8;postgres_db;18.38;215.7;512.0;42.13;59.3;136.0;0.0;0.0;95
2025-09-22 21:23:28;eee16608eae8;postgres_db;17.84;252.3;512.0;49.27;62.4;146.0;0.0;0.0;116
2025-09-22 21:23:36;eee16608eae8;postgres_db;18.81;215.1;512.0;42.02;65.6;157.0;0.0;0.0;105
2025-09-22 21:23:43;eee16608eae8;postgres_db;17.45;249.9;512.0;48.81;68.6;167.0;0.0;0.0;114
2025-09-22 21:23:53;eee16608eae8;postgres_db;19.56;254.5;512.0;49.7;72.2;180.0;0.0;0.0;118
2025-09-22 21:24:01;eee16608eae8;postgres_db;20.48;241.5;512.0;47.17;75.1;190.0;0.0;0.0;115
2025-09-22 21:24:09;eee16608eae8;postgres_db;20.33;223.7;512.0;43.69;78.4;202.0;0.0;0.0;101
2025-09-22 21:24:16;eee16608eae8;postgres_db;18.81;157.5;512.0;30.75;81.5;215.0;0.0;0.0;67
2025-09-22 21:24:27;eee16608eae8;postgres_db;21.14;206.9;512.0;40.41;85.2;229.0;0.0;0.0;93
2025-09-22 21:24:34;eee16608eae8;postgres_db;22.04;246.9;512.0;48.23;88.2;241.0;0.0;0.0;118
2025-09-22 21:24:42;eee16608eae8;postgres_db;10.17;242.1;512.0;47.28;89.7;248.0;0.0;0.0;111
