Timestamp;Container_ID;Container_Name;CPU_Percent;Mem_Usage_MiB;Mem_Limit_MiB;Mem_Percent;Net_Rx_MiB;Net_Tx_MiB;Block_Read_MiB;Block_Write_MiB;PIDS
2025-09-22 21:20:35;c3bf0684602f;pymedapp;0.25;134.7;512.0;26.32;0.02294921875;0.0248046875;0.0;0.0;31
2025-09-22 21:20:43;c3bf0684602f;pymedapp;78.96;158.1;512.0;30.89;0.9619140625;1.15;0.0;0.0;31
2025-09-22 21:20:50;c3bf0684602f;pymedapp;124.11;227.8;512.0;44.5;6.01;7.1;0.0;0.0;31
2025-09-22 21:20:58;c3bf0684602f;pymedapp;140.35;191.5;512.0;37.41;10.9;12.9;0.0;0.0;31
2025-09-22 21:21:08;c3bf0684602f;pymedapp;168.19;155.4;512.0;30.36;18.5;21.7;0.0;0.0;31
2025-09-22 21:21:16;c3bf0684602f;pymedapp;145.93;234.2;512.0;45.75;25.4;29.9;0.0;0.0;31
2025-09-22 21:21:23;c3bf0684602f;pymedapp;132.88;234.8;512.0;45.86;34.1;40.3;0.0;0.0;31
2025-09-22 21:21:31;c3bf0684602f;pymedapp;150.24;207.1;512.0;40.45;42.0;49.8;0.0;0.0;31
2025-09-22 21:21:41;c3bf0684602f;pymedapp;162.41;214.8;512.0;41.96;50.7;60.6;0.0;0.0;30
2025-09-22 21:21:49;c3bf0684602f;pymedapp;149.33;237.6;512.0;46.4;58.4;70.1;0.0;0.0;31
2025-09-22 21:21:56;c3bf0684602f;pymedapp;159.17;197.8;512.0;38.63;67.3;81.1;0.0;0.0;27
2025-09-22 21:22:04;c3bf0684602f;pymedapp;149.48;196.1;512.0;38.31;78.5;95.3;0.0;0.0;31
2025-09-22 21:22:14;c3bf0684602f;pymedapp;138.59;240.5;512.0;46.97;87.2;106.0;0.0;0.0;31
2025-09-22 21:22:22;c3bf0684602f;pymedapp;147.75;226.0;512.0;44.14;97.3;119.0;0.0;0.0;30
2025-09-22 21:22:29;c3bf0684602f;pymedapp;161.54;202.2;512.0;39.5;110.0;134.0;0.0;0.0;30
2025-09-22 21:22:37;c3bf0684602f;pymedapp;150.48;242.0;512.0;47.26;119.0;146.0;0.0;0.0;31
2025-09-22 21:22:47;c3bf0684602f;pymedapp;149.05;228.2;512.0;44.58;130.0;160.0;0.0;0.0;31
2025-09-22 21:22:55;c3bf0684602f;pymedapp;149.31;242.9;512.0;47.44;141.0;175.0;0.0;0.0;31
2025-09-22 21:23:03;c3bf0684602f;pymedapp;145.96;243.3;512.0;47.52;153.0;189.0;0.0;0.0;31
2025-09-22 21:23:10;c3bf0684602f;pymedapp;156.81;213.6;512.0;41.71;166.0;207.0;0.0;0.0;31
2025-09-22 21:23:20;c3bf0684602f;pymedapp;147.31;243.5;512.0;47.55;178.0;222.0;0.0;0.0;31
2025-09-22 21:23:28;c3bf0684602f;pymedapp;148.61;229.8;512.0;44.89;190.0;237.0;0.0;0.0;31
2025-09-22 21:23:36;c3bf0684602f;pymedapp;160.31;210.1;512.0;41.03;203.0;255.0;0.0;0.0;30
2025-09-22 21:23:43;c3bf0684602f;pymedapp;152.48;250.9;512.0;49.0;219.0;275.0;0.0;0.0;30
2025-09-22 21:23:53;c3bf0684602f;pymedapp;153.53;230.8;512.0;45.08;230.0;289.0;0.0;0.0;31
2025-09-22 21:24:01;c3bf0684602f;pymedapp;155.68;231.9;512.0;45.29;247.0;312.0;0.0;0.0;31
2025-09-22 21:24:09;c3bf0684602f;pymedapp;155.26;228.7;512.0;44.66;261.0;330.0;0.0;0.0;31
2025-09-22 21:24:16;c3bf0684602f;pymedapp;168.08;201.0;512.0;39.26;275.0;349.0;0.0;0.0;31
2025-09-22 21:24:27;c3bf0684602f;pymedapp;163.88;216.0;512.0;42.19;288.0;366.0;0.0;0.0;31
2025-09-22 21:24:34;c3bf0684602f;pymedapp;174.24;200.1;512.0;39.08;303.0;385.0;0.0;0.0;31
2025-09-22 21:24:42;c3bf0684602f;pymedapp;155.58;255.1;512.0;49.81;315.0;401.0;0.0;0.0;30
2025-09-22 21:24:49;c3bf0684602f;pymedapp;159.76;212.9;512.0;41.58;328.0;418.0;0.0;0.0;31
2025-09-22 21:25:00;c3bf0684602f;pymedapp;163.54;216.2;512.0;42.23;348.0;444.0;0.0;0.0;31
2025-09-22 21:25:07;c3bf0684602f;pymedapp;154.13;246.3;512.0;48.11;364.0;466.0;0.0;0.0;31
2025-09-22 21:25:15;c3bf0684602f;pymedapp;156.91;232.2;512.0;45.35;380.0;486.0;0.0;0.0;31
2025-09-22 21:25:22;c3bf0684602f;pymedapp;157.34;247.1;512.0;48.26;399.0;511.0;0.0;0.0;31
2025-09-22 21:25:33;c3bf0684602f;pymedapp;159.7;231.3;512.0;45.17;414.0;531.0;0.0;0.0;31
2025-09-22 21:25:40;c3bf0684602f;pymedapp;163.93;213.6;512.0;41.73;432.0;555.0;0.0;0.0;31
2025-09-22 21:25:48;c3bf0684602f;pymedapp;157.42;222.0;512.0;43.36;450.0;579.0;0.0;0.0;31
2025-09-22 21:25:55;c3bf0684602f;pymedapp;167.24;215.3;512.0;42.04;465.0;599.0;0.0;0.0;31
2025-09-22 21:26:06;c3bf0684602f;pymedapp;160.05;231.0;512.0;45.12;484.0;624.0;0.0;0.0;31
2025-09-22 21:26:13;c3bf0684602f;pymedapp;156.54;230.3;512.0;44.98;500.0;645.0;0.0;0.0;31
2025-09-22 21:26:21;c3bf0684602f;pymedapp;163.47;218.8;512.0;42.73;521.0;673.0;0.0;0.0;31
2025-09-22 21:26:28;c3bf0684602f;pymedapp;154.26;246.8;512.0;48.2;535.0;692.0;0.0;0.0;31
